title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
1000 1,9.3,3.71,3747,0,0,20.27,8.27,3985.3,87,2071.81014452968,19.3999109999859
1000 10,8.5,5.34,12736,3.03,38.19,17.32,7.1,3665,101,1102.15458454879,1588.20212619306
1000 11,15.4,4.19,6632,7.65,136.75,14.3,6.2,2075.3,65,0,3113.88221613239
1000 12,7.7,4.47,7183,2.3,9.25,16.61,7.45,2424.9,78,0,9484.48078003417
1000 2,6.7,4.19,5653,0,0,14.41,7.02,962.8,39,0,11994.6270938861
1000 3,10.6,5.21,5306,0,0,14.2,8,1381.8,32,731.647869314096,0
1000 4,8.1,3.94,4025,0,0,7.98,4.47,894.7,41,0,330.990561274783
1000 5,10.8,5.22,11217,9.16,20.88,28.73,9.03,2469.2,77,0,6680.32410287499
1000 6,12.2,4.36,20124,0,0,16.21,7.61,4184.9,87,3892.73703929799,2405.26730301981
1000 7,10.6,3.89,6273,0,0,20.27,10.47,5658.1,97,4167.79760042675,0
1000 8,19.6,5.44,2656,0,0,9.13,5.51,1126.6,43,0,37.6518859998323
1000 9,8.1,4.83,9824,14.55,39,15.94,6.43,1798.4,65,0,15026.6850772801
1001 1,7.8,5.07,6254,0,0,19.73,9.39,4370.7,130,0,8640.45137153825
1001 10,8.6,4.94,9044,19.31,138.06,21.2,8.99,4615.1,113,0,10646.3087339549
1001 11,7.3,4.55,6675,4.41,6.69,18.14,5.38,1926.9,94,72.9855322026997,15845.969740249
1001 12,6.5,4.01,8501,15.42,209.69,15.42,4.67,1996.8,98,0,21587.4291585403
1001 2,6.6,4.57,8997,10.64,56.38,19.01,7.34,2775.4,103,0,15479.4285690797
1001 3,8.4,4.44,9318,16.47,52.19,19.46,8.92,3463,108,1284.3998499969,7267.28894438281
1001 4,7.6,4.11,9492,27.09,124.06,27.09,7.19,2446,94,0,18489.4245458482
1001 5,7.8,5.12,9361,14.44,92.19,19.73,10.72,5659.8,146,940.322037147038,5052.32730988077
1001 6,7.8,4.14,5559,0,0,13.24,5.51,1183.2,48,0,13458.9732054894
1001 7,7.8,4.26,7143,3,18.62,18.83,5.99,2231,98,0,21752.9254413612
1001 8,7.8,4.05,7456,18.83,91.31,27.09,7.03,2382.3,94,0,21564.1270676524
1001 9,6.9,3.76,8832,6.77,9.81,15.87,5.23,2640.2,121,0,25158.1484026911
1002 1,6.6,4.59,2770,0,0,19.7,7.5,4390.2,119,2537.56055051158,7707.58933269647
1002 10,8.6,4.78,9112,19.31,182.25,21.2,8.86,4514.6,118,0,10351.4383857567
1002 11,7.3,4.59,9459,13.25,51.12,21.2,7.89,3533,109,0,12963.1183365812
1002 12,11.5,4.71,3687,0,0,16.54,8.14,1399.4,38,0,4362.48409910014
1002 2,6.1,3.57,1498,0,0,20.88,9.27,3108.6,83,0,3302.25784713092
1002 3,9.8,3.91,9308,17.26,85.06,18.7,7.78,4201,107,0,11424.9330426051
1002 4,10.4,5.17,5865,15,239.19,19.7,7.87,2718.8,84,1525.22330450686,10302.1402909374
