title,species,habitat,taxa_group
389 12,Wren,Woodland,bird
389 12,Wren,Built-Up,bird
389 12,Wren,Shrub,bird
389 12,Magpie,Built-Up,bird
389 12,Magpie,Arable,bird
389 12,Magpie,Woodland,bird
389 12,Magpie,Grassland,bird
389 12,Magpie,Rock,bird
389 12,Magpie,Shrub,bird
389 12,Stockdove,Woodland,bird
389 12,Stockdove,Arable,bird
389 12,Stockdove,Rock,bird
389 12,Stockdove,Shrub,bird
389 12,Lime,Woodland,plant
389 12,Brambles,Woodland,plant
389 12,Bracken,Woodland,plant
389 12,Cocks_foot,Grassland,plant
389 12,Cocks_foot,Grassland,plant
389 12,Herb_Robert,Woodland,plant
389 12,Herb_Robert,Rock,plant
389 10,Robin,Woodland,bird
389 10,Robin,Built-Up,bird
389 10,Robin,Arable,bird
389 10,Robin,Grassland,bird
389 10,Robin,Shrub,bird
389 10,Goldfinch,Woodland,bird
389 10,Goldfinch,Built-Up,bird
389 10,Goldfinch,Arable,bird
389 10,Goldfinch,Grassland,bird
389 10,Goldfinch,Shrub,bird
389 10,Goldfinch,Wetlands,bird
389 10,Blue_tit,Woodland,bird
389 10,Blue_tit,Arable,bird
389 10,Blue_tit,Built-Up,bird
389 10,Blue_tit,Shrub,bird
389 10,Stockdove,Woodland,bird
389 10,Stockdove,Arable,bird
389 10,Stockdove,Rock,bird
389 10,Stockdove,Shrub,bird
389 10,Ash,Woodland,plant
389 10,Ivy,Woodland,plant
389 10,Cocks_foot,Grassland,plant
389 10,Cocks_foot,Grassland,plant
389 10,Buttercup_meadow,Grassland,plant
389 10,Buttercup_meadow,Grassland,plant
389 9,Robin,Woodland,bird
389 9,Robin,Built-Up,bird
389 9,Robin,Arable,bird
389 9,Robin,Grassland,bird
389 9,Robin,Shrub,bird
389 9,Blue_tit,Woodland,bird
389 9,Blue_tit,Arable,bird
389 9,Blue_tit,Built-Up,bird
389 9,Blue_tit,Shrub,bird
389 9,Magpie,Built-Up,bird
389 9,Magpie,Arable,bird
389 9,Magpie,Woodland,bird
389 9,Magpie,Grassland,bird
389 9,Magpie,Rock,bird
